date,a2c,ddpg,ppo,td3,sac,mvo,dji
2020-09-04,1089710.5270662806,1085489.8259249842,1073447.889390557,1098717.0182095303,1082773.2665632972,1190771.9198160407,1093192.1811249272
2020-09-08,1071943.6970237046,1056442.1039096033,1044458.4860617529,1076275.0497418179,1063698.0121535072,1142289.5765584689,1068618.627962891
2020-09-09,1085992.801279381,1074956.363579861,1064902.821141747,1095402.58058746,1077856.8714979896,1178754.7833872826,1085700.4080046627
2020-09-10,1071231.7489760667,1057841.6819583094,1046752.2601750266,1079912.9295941128,1063424.8171232948,1151302.785879231,1069928.098285409
2020-09-11,1083961.811083153,1063217.8559313929,1046362.9763857314,1083123.8399639858,1069877.9850996742,1144143.2502737737,1075018.4421750535
2020-09-14,1088434.7009986192,1076919.2564250147,1063751.4935058637,1098465.157503201,1085484.4564284096,1170109.1632200803,1087752.1189527882
2020-09-15,1081035.512365654,1075061.0281268274,1066419.8023986097,1100552.7598629727,1081675.0804594764,1177702.8834096356,1087841.4458665242
2020-09-16,1089252.5002768785,1075247.743744961,1064806.9310250136,1104907.75271423,1084907.9474943886,1158440.769253275,1089271.4354235479
2020-09-17,1091831.9343741685,1066777.3867961084,1059483.5593544508,1099991.3965435757,1079564.3559416542,1145733.4584865705,1084204.3909073246
2020-09-18,1086050.2501281053,1058434.5707331812,1048165.9478549086,1089112.2308445706,1067840.4022368202,1125474.8209772937,1074699.8403196037
2020-09-21,1060471.462499508,1041195.6542445336,1034785.2678868605,1068591.782213284,1044345.0697096596,1129995.3949751272,1054894.082718088
2020-09-22,1064556.5290389291,1044932.2197047387,1041318.9606023643,1070000.1504307522,1047189.3476103554,1140241.8042841903,1060353.5736836994
2020-09-23,1046466.9357581026,1025160.9860392724,1019907.6603793341,1045183.5563488734,1029081.2672652015,1103431.2750488897,1039949.4699582282
2020-09-24,1050483.4750283968,1028658.9930239831,1021946.0002233282,1043744.7218609584,1030597.275878788,1108973.778732175,1041981.7521128814
2020-09-25,1054402.3134492647,1045533.1629191552,1041519.9324340903,1065109.77690704,1046183.1871794472,1137613.2200646282,1055916.0676122012
2020-09-28,1064606.8497003329,1061484.0517665064,1055306.7552580344,1082907.9362278713,1063480.4245451698,1156581.0377417163,
2020-09-29,1054985.199233414,1056820.0745974695,1049513.803156346,1079610.468969418,1058438.520095707,1152441.7715118302,1066745.6467359627
2020-09-30,1064095.6077455294,1072106.737229458,1062134.6360525442,1094317.3636608853,1070889.282935978,1170765.5924274968,1079529.7928404897
2020-10-01,1056777.5785478365,1074672.5150462305,1066303.2427487036,1096384.8403568997,1072779.8142012367,1179327.9924793835,
2020-10-02,1058269.3781617892,1071760.9769946253,1053181.9844390342,1096486.9150715603,1073489.7834318886,1159177.2258869805,1075686.8382067224
2020-10-05,1073279.9352906954,1089219.480702511,1073626.481334683,1114119.7266827358,1089344.5743635902,1183051.8714363284,1093786.6566689333
2020-10-06,1065409.5560296786,1074198.882542721,1054531.8614260757,1096852.571691586,1071944.348106266,1158848.7672017484,1079184.021031669
2020-10-07,1079581.790461899,1097840.175850979,1072250.313704556,1123350.6351681484,1091807.8079146156,1183156.6583694615,1099805.7120652806
2020-10-08,1093679.0966676485,1107424.8518115198,1070864.088717282,1132364.762643887,1102185.331786991,1184428.8696321244,1104546.3376724306
2020-10-09,1095706.208934189,1117487.3725329554,1076353.544884709,1139171.0188732876,1108563.3631438026,1203053.8137770442,1110817.967383913
2020-10-12,1104165.7191499483,1128413.921013943,1089761.780259438,1146048.6148396267,1117744.0813368568,1237227.840804447,1120555.663493297
2020-10-13,1094288.6914018404,1122380.3899432337,1084606.9215899168,1143029.7840061917,1113130.999832035,1225898.0566977852,1114427.8523897415
2020-10-14,1092032.9130777132,1112878.2447062647,1079201.6617703063,1133650.4879399075,1106465.2028883705,1214597.7846772373,1107985.2341169615
2020-10-15,1089932.1898339998,1113201.9758921778,1076591.9494891174,1135305.1712704434,1107954.9358061561,1210197.8697918952,1107215.8235379832
2020-10-16,1097530.179210068,1118889.6031924402,1080032.314249829,1144536.55582626,1113075.3890913734,1206812.9894024543,1111571.8197493686
2020-10-19,1083507.427760483,1103446.8388377344,1062291.2100355192,1129518.4639569058,1098876.091415287,1182924.1952415304,1095605.2220953954
2020-10-20,1090426.4497178805,1111339.2350398218,1062093.1267360274,1130299.2787304653,1101509.324630619,1191827.252388228,1100011.687633573
2020-10-21,1094631.6651071322,1108118.4072505152,1057981.5861670272,1123932.5678311123,1095075.9295881996,1187396.0703074133,1096203.6441130757
2020-10-22,1106101.2560418856,1115868.7228861963,1063795.179838578,1129296.099199368,1103401.76350391,1179047.1588527013,1102144.9084418106
2020-10-23,1106975.0360940706,1117674.1666575586,1064564.2392156683,1131762.9242840542,1104252.459182621,1180732.2840711365,1101053.0254274337
2020-10-26,1085105.4829362642,1089170.4420367396,1041886.654635781,1101170.590616299,1077795.6885145912,1162345.4260438518,1075787.8527540315
2020-10-27,1071507.761126877,1082327.4822646296,1035360.0192340094,1094826.643394543,1063753.978019596,1170542.530667687,1067153.6513988732
2020-10-28,1045769.461642624,1044523.061749569,995404.1358235823,1054047.8193455471,1025710.6804732094,1121595.3195491107,
2020-10-29,1055247.638194443,1046786.4091845666,1004494.874202645,1056340.0816975369,1031145.7466810951,1139244.5012008043,1035908.2809160675
2020-10-30,1056144.7601541292,1040612.8231555138,993350.5815979011,1051762.276781155,1025481.5071333656,1105812.4689576866,1029788.210972411
2020-11-02,1080590.8547929537,1059765.9974566614,1002870.2794425895,1071355.1668339504,1041173.5648039589,1114411.5109989468,1046244.3990431319
2020-11-03,1095895.9942849886,1086643.4699393427,1019463.0761993414,1096693.4326401486,1067183.0307692299,1137036.8748059608,1067806.4892170196
2020-11-04,1083694.2354539644,1109021.5835677302,1039075.0909845245,1119089.5431519283,1079232.3057326088,1188940.3022440085,1082094.3935787836
